,CPV_0,CPV_1,CPV_2,CPV_3,CPV_4,CPV_5,CPV_6,CPV_7,CPV_8
YiCH4,0.019520605,-0.0,0.0031202706,-0.0,2.260072e-06,-0.0,4.3197144e-07,-0.0,-0.0
YiH,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.1679683,-0.0
YiO,0.0070370375,0.0073971194,-0.0,0.006240495,0.0049071102,-0.0,0.015985169,5.1187868e-05,0.012015595
YiO2,0.024582088,8.73948e-05,0.0013225179,0.027629217,8.137447e-05,0.047081966,5.1941126e-05,6.7132336e-05,0.029021349
YiOH,0.0011078033,-0.0,0.0054676007,0.00068332226,-0.0,1.9139707e-05,-0.0,0.071508855,0.00026661952
YiH2O,5.605728e-05,0.002335072,0.11791571,1.864239e-05,0.02483572,0.008713192,0.006072256,9.898073e-06,8.857773e-06
YiHO2,0.0083242105,0.000205899,-0.0,0.016770387,-0.0,-0.0,-0.0,-0.0,0.016662285
YiH2O2,-0.0,-0.0,0.3081366,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YiC,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.48033106,-0.0
YiCH,0.40043896,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YiCH2,-0.0,-0.0,0.66012186,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YiCH2(S),-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.3328719,-0.0,-0.0
YiCH3,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.24041267,3.3292994e-07
YiH2,0.42098427,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.2853637e-05,-0.0
YiCO,6.0723396e-05,0.041664094,-0.0,0.00016495811,0.017159801,4.5552366e-05,0.03948996,0.052593317,0.00027042872
YiCO2,9.187793e-05,-0.0,3.6603335e-05,6.71947e-05,5.8674064e-05,0.00046168617,-0.0,0.24305771,2.4785817e-05
YiHCO,-0.0,-0.0,-0.0,-0.0,0.08081063,-0.0,-0.0,-0.0,-0.0
YiCH2O,-0.0,-0.0,7.2790126e-06,-0.0,-0.0,-0.0,-0.0,-0.0,0.11409413
YiCH2OH,-0.0,-0.0,-0.0,-0.0,-0.0,0.5849192,-0.0,-0.0,-0.0
YiCH3O,0.6384341,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YiCH3OH,-0.0,0.39172176,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YiC2H,-0.0,0.10121877,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YiC2H2,-0.0,0.010285563,2.391917e-06,-0.0,0.002957441,0.104486205,-0.0,-0.0,-0.0
YiC2H3,-0.0,-0.0,-0.0,1.2795402e-05,-0.0,0.004360491,0.05407922,-0.0,1.029162e-05
YiC2H4,0.0050378554,-0.0,0.00047005896,-0.0,6.930711e-05,0.09788094,3.7647147e-05,-0.0,-0.0
YiC2H5,-0.0,-0.0,-0.0,0.16079053,-0.0,-0.0,-0.0,-0.0,-0.0
YiC2H6,-0.0,-0.0,-0.0,-0.0,-0.0,0.5367542,-0.0,-0.0,-0.0
YiHCCO,-0.0,-0.0,-0.0,-0.0,-0.0,0.27540207,-0.0,-0.0,-0.0
YiCH2CO,-0.0,-0.0,-0.0,-0.0,-0.0,0.14316434,-0.0,-0.0,-0.0
YiHCCOH,-0.0,-0.0,-0.0,-0.0,0.2980391,-0.0,-0.0,-0.0,-0.0
YiN,-0.0,-0.0,0.5710098,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YiNH,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.6161163
YiNH2,-0.0,0.49716023,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YiNH3,-0.0,0.529038,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YiNNH,-0.0,-0.0,-0.0,-0.0,-0.0,0.500542,-0.0,-0.0,-0.0
YiNO,-0.0,-0.0,-0.0,0.41651827,-0.0,-0.0,-0.0,-0.0,-0.0
YiNO2,-0.0,-0.0,-0.0,0.32226333,-0.0,-0.0,-0.0,-0.0,-0.0
YiN2O,-0.0,-0.0,-0.0,-0.0,0.418813,-0.0,-0.0,-0.0,-0.0
YiHNO,-0.0,-0.0,-0.0,-0.0,0.4999774,-0.0,-0.0,-0.0,-0.0
YiCN,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.73904467,-0.0,-0.0
YiHCN,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.62038356
YiH2CN,-0.0,-0.0,-0.0,0.4394257,-0.0,-0.0,-0.0,-0.0,-0.0
YiHCNN,-0.0,-0.0,-0.0,0.5154501,-0.0,-0.0,-0.0,-0.0,-0.0
YiHCNO,-0.0,-0.0,0.35957125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YiHOCN,-0.0,-0.0,-0.0,-0.0,0.52906823,-0.0,-0.0,-0.0,-0.0
YiHNCO,-0.0,-0.0,-0.0,-0.0,0.4454174,-0.0,-0.0,-0.0,-0.0
YiNCO,-0.0,-0.0,-0.0,0.486772,-0.0,-0.0,-0.0,-0.0,-0.0
YiC3H7,0.5036459,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
YiC3H8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.78508705,-0.0
YiCH2CHO,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.029401714,-0.0,-0.0
YiCH3CHO,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.58082104,-0.0,-0.0
YiN2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.47035733
YiAR,-0.0,0.55436367,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
